Portfolio,Group,Div,District,Store,Reason,Brand,Product,Product Desc,Vendor Date/Code,UPC (free form UPC),Item,Case ID,Rcv Date,Text
GROC FOOD,HOT CEREAL,SS,DIST 333,566,QL TASTE,FOODHOLD,068826707047-SSNYM,Sb Inst Regular 11.8 Oz,,68826707047,,2032865,05/29/2019 8:46:17,customer bought 5  boxes of this cereal and they are all too salty. He tried to return to the store and they told him that he had to call the number on the box for a refund of 5 boxes
GROC FOOD,JUICES GROC,SS,DIST 331,830,DISC PRIV ITEM,NATURES PROMISE,068826706375-SSNYM,Np Ff Blk Chry Jce 32Ol,,68826706375,JUICE FREE FROM BLACK CHERRY 32OZ,2036869,06/01/2019 16:23:14,Customer stated that he loves this product and it is the only kind that helps his arthritis. He has not been able to find it and is willing to purchase a case of it if we could get it for him.
GROC FOOD,JUICES GROC,SS,DIST 331,830,DISC PRIV ITEM,NATURES PROMISE,068826706375-SSNYM,Np Ff Blk Chry Jce 32Ol,,68826706375,JUICE FREE FROM BLACK CHERRY 32OZ,2036869,06/01/2019 16:23:14,Called and left VM
GROC FOOD,JUICES GROC,SS,DIST 331,855,DISC PRIV ITEM,NATURES PROMISE,,,,,JUICE BLACK CHERRY,2036843,06/01/2019 16:01:56,"Looking for NP Black cherry juice 32 oz.  Used it for medicinal purpose and it was excellent.  What happened to it?

0688267063756

Shelf Stable"
GROC FOOD,JUICES GROC,GM,DIST 132,6511,DISC PRIV ITEM,NATURES PROMISE,,,,,BOXES JUICES LEMONADE,2031998,05/28/2019 11:18:50,"CUSTOMER COMMENTS:  Has this product been discontinued? I no longer see it on the shelves or a spot for where it once was.

Thank you! 
"
GROC FOOD,JUICES GROC,SS,DIST 321,618,OOS REG,NATURES PROMISE,,,,,JUICE BLACK CHERRY ORGANIC,2034454,05/30/2019 12:49:59,"the store has been out of the Nature's Promise organic 100 black cherry juice, when will it be in stock."
GROC FOOD,JUICES GROC,SS,DIST 311,723,QL PIT SEED,NATURES PROMISE,068826706374-SSNE,Np 100% Ff Pom Jce 32Ol,,68826706374,100% FF POM JCE 32OL,2032049,05/28/2019 11:37:43,"customer wants to know why all the pomegranate pits are at bottom of glass and makes her choke on them when she tries to drink product, all the black spots."
GROC FOOD,JUICES GROC,SS,DIST SS 0,0000 SS,QL TASTE,FOODHOLD,068826707985-SSNE,Sb Mnd Org Pjce 11Z,,68826707985,JUICE FL MANDARIN ORANGES  PACK,2033105,05/29/2019 10:24:08,"I know this is a product of China but you need to find out the oranges and pears are grown because they was not a well tasting item. Also, the water for the juice was not filtered. I am a health nut and I can taste these types of things."
GROC FOOD,KETCHUP MUSTARD,GM,DIST 131,6046,QL TASTE,NATURES PROMISE,068826706056-GC,Np Organic Ketchup 20Z,SELL BY 1 31 2021 9CO RO321 10:42,68826706056,KETCHUP,2035254,05/31/2019 9:08:15,"Buys NP Tomato Ketchup all the time, b/c it is organic, and it has the best flavor he has ever  had.  Beats Heinz and Delmonte.  Last week, tried a new bottle and it was terrible.  If they don't go back to the original formula will not buy it anymore.  As the saying goes, If it ain't broke, don't fix it.  The reason he liked it was b/c the flavor was very mild, mellow and easily palatable.  Now it is hot and spicy and burns your mouth.  If they have changed the formula, it is a bad idea.  Also, they should put on the label hot and spicy.  This bottle tasted like cajun spice had been added.

Also, the mgnt at this store is not good.  Does a very poor job of stocking the shelves.  NP crackers have been oos for weeks.  Also, always out of Pure Leaf iced tea Extra sweet.  

Also, does not like Marty.  It was a bad idea and they need to get rid of it.  Have seen it scare children, elderly.  It is nothing more than a ""spy"",  Does not like it and it's taking jobs away from ppl."
GROC FOOD,KETCHUP MUSTARD,GM,DIST 131,6046,QL TASTE,NATURES PROMISE,068826706056-GC,Np Organic Ketchup 20Z,SELL BY 1 31 2021 9CO RO321 10:42,68826706056,KETCHUP,2035254,05/31/2019 9:08:15,"Dear Brooke

It may have been a bad batch.  Please send cust a letter stating this fact with a coup."
GROC FOOD,PASTA DRY,SS,DIST SS 0,0000 SS,ALLERGY OTHER,FOODHOLD,068826709767-SSNE,Sb Cavatappi 16 Oz,,68826709767,PASTA CAVATAPPI 16OZ,2031791,05/28/2019 9:34:10,customer was calling to see if this product is CC with anything else besides eggs
GROC FOOD,PASTA DRY,SS,DIST SS 0,0000 SS,QL OA DISSATISFIED,FOODHOLD,,,,,MACARONI,2035946,05/31/2019 15:07:38,I bought three boxes of elbow macaroni and one was only filled halfway
GROC FOOD,PASTA DRY,GM,DIST 143,6050,QL OA DISSATISFIED,FOODHOLD,288826713713-GC,Sb Dlx Shl Chs Cup 2.39,,288826713713,SHELLS & SCHEESE,2032168,05/28/2019 12:38:53,88267 13713 shells & cheese - I bought your shells & cheese - I followed the directions and they came out hard as rock - my dog won't even eat it
GROC FOOD,PICK OLIV RELISH,GM,DIST GM 0,0000 GM,QL MOLDY,FOODHOLD,068826707760-GC,Sb Lrge Pit Olive 6 Oz,,68826707760,OLIVES,2033117,05/29/2019 10:33:46,"customer said she purchased two cans of store brand black olives and they were molded
688267077609
sell by date 9/27/22
T3PL11:26
"
GROC FOOD,SAUCES FRUIT,SS,DIST 336,563,QL TASTE,FOODHOLD,,,,68826701071,SAUCE APPLE UNSWEETENED,2031859,05/28/2019 10:12:16,"I purchased the Stop & Shop Apple Sauce and it was horrible. It was a package of 6 little containers, and I just wanted to tell you that it was not good at all. I don't have the package, because I threw it out."
GROC FOOD,SAUCES MAR,SS,DIST 334,2565,DISC PRIV ITEM,SIMPLY ENJOY,,,,68826713906,SAUCE PINEAPPLE MANGO TEQUILA,2033481,05/29/2019 14:15:07,Customer states they would like the pineapple mango coconut tequila gourmet sauce to be sold again.
GROC FOOD,SAUCES MAR,SS,DIST 325,620,OOS REG,NATURES PROMISE,,,,,SAUCE WORCESTERSHIRE,2034451,05/30/2019 12:35:07,Customer states they could not find the organic Worcestershire sauce in the Trumbull and Shelton stores.  Customer states they would like to thank you for having a great organic section and for our gas program. Customer did not need a call back and did not want to leave contact information.
GROC FOOD,SAUCES MAR,SS,DIST 325,629,OOS REG,NATURES PROMISE,,,,,SAUCE WORCESTERSHIRE,2034451,05/30/2019 12:35:07,Customer states they could not find the organic Worcestershire sauce in the Trumbull and Shelton stores.  Customer states they would like to thank you for having a great organic section and for our gas program. Customer did not need a call back and did not want to leave contact information.
GROC FOOD,SODA POP TONIC,GM,DIST 135,6317,OOS REG,FOODHOLD,,,,,SODA CREAM DIET,2034022,05/30/2019 9:02:34,"CUSTOMER COMMENTS:  I have not observed various flavors of Giant diet sodas on the shelf at the Royersford Giant for over a week that I enjoy, and have regularly purchased.  These flavors missing from the shelf include Giant brand Diet Cream soda, Diet Black Cherry; Diet Citrus; Diet Root Beer; and Diet Orange soda.  I asked a store manager about this situation, but she knew nothing as to why these flavors were no longer on the shelf.  Please reply to me and advise if these flavors of Giant diet soda have been discontinued, or when they will again be on the shelf at Royersford Giant.  Again, the above flavors have been missing from the shelf for over a week.  Thank you. 
"
GROC FOOD,SODA POP TONIC,GM,DIST 135,6317,OOS REG,FOODHOLD,,,,,SODA CITRUS DIET,2034022,05/30/2019 9:02:34,"CUSTOMER COMMENTS:  I have not observed various flavors of Giant diet sodas on the shelf at the Royersford Giant for over a week that I enjoy, and have regularly purchased.  These flavors missing from the shelf include Giant brand Diet Cream soda, Diet Black Cherry; Diet Citrus; Diet Root Beer; and Diet Orange soda.  I asked a store manager about this situation, but she knew nothing as to why these flavors were no longer on the shelf.  Please reply to me and advise if these flavors of Giant diet soda have been discontinued, or when they will again be on the shelf at Royersford Giant.  Again, the above flavors have been missing from the shelf for over a week.  Thank you. 
"
GROC FOOD,SODA POP TONIC,GM,DIST 135,6317,OOS REG,FOODHOLD,,,,,SODA BLACK CHERRY DIET,2034022,05/30/2019 9:02:34,"CUSTOMER COMMENTS:  I have not observed various flavors of Giant diet sodas on the shelf at the Royersford Giant for over a week that I enjoy, and have regularly purchased.  These flavors missing from the shelf include Giant brand Diet Cream soda, Diet Black Cherry; Diet Citrus; Diet Root Beer; and Diet Orange soda.  I asked a store manager about this situation, but she knew nothing as to why these flavors were no longer on the shelf.  Please reply to me and advise if these flavors of Giant diet soda have been discontinued, or when they will again be on the shelf at Royersford Giant.  Again, the above flavors have been missing from the shelf for over a week.  Thank you. 
"
GROC FOOD,SODA POP TONIC,GM,DIST 135,6317,OOS REG,FOODHOLD,,,,,SODA ORANGE DIET,2034022,05/30/2019 9:02:34,"CUSTOMER COMMENTS:  I have not observed various flavors of Giant diet sodas on the shelf at the Royersford Giant for over a week that I enjoy, and have regularly purchased.  These flavors missing from the shelf include Giant brand Diet Cream soda, Diet Black Cherry; Diet Citrus; Diet Root Beer; and Diet Orange soda.  I asked a store manager about this situation, but she knew nothing as to why these flavors were no longer on the shelf.  Please reply to me and advise if these flavors of Giant diet soda have been discontinued, or when they will again be on the shelf at Royersford Giant.  Again, the above flavors have been missing from the shelf for over a week.  Thank you. 
"
GROC FOOD,SODA POP TONIC,GM,DIST 146,6003,QL STALE,FOODHOLD,068826700153-GC,Sb Dt Cream Soda 2L,,68826700153,SODA,2034726,05/30/2019 15:11:01,Customer says all four sodas were flat
GROC FOOD,SOUP BROTH,GM,DIST 143,6289,QL FEW MISS INGR,NATURES PROMISE,068826715590-GC,Np Organic Lentil 17Z,08-07-2020 178R88878 11:19 21767 FW00 R1,68826715590,ORGANIC LENTIL 17Z,2034474,05/30/2019 12:55:41,when customer poured soup in bowl there was no lentils
GROC FOOD,SYRUP HONEY,GF,DIST GF 0,0000 GF,QL DEFECTIVE,FOODHOLD,068826707605-GL,Sb Honey Bear 12Z,,68826707605,HONEY 12 OZS,2033030,05/29/2019 9:41:07,"Customer state she cannot use this honey as nothing comes out the container.. She had ran water over it to no avail. 

best buy 02 Oct 20"
GROC FOOD,TEA BOTTLE CAN,SS,DIST SS 0,0000 SS,PKG LEAK,NATURES PROMISE,068826717768-SSNE,Np Og Gngr Kombcha 16Z,,68826717768,TEA KOMBUCHA,2031504,05/27/2019 13:49:24,Bought a few Kombucha's and the top was not on properly and spilled inside her shopping bag.
GROC FOOD,TEA BOTTLE CAN,SS,DIST SS 0,0000 SS,PKG LEAK,FOODHOLD,068826717768-SSNE,Np Og Gngr Kombcha 16Z,080819 2,68826717768,TEA KOMBUCHA 16 OZ BTLS,2031390,05/27/2019 10:43:20,"NP Combucha tea leaked out into her cooler.  It wasn't even open.   Had bought two of them.  Then, when you open them, they spray everywheer."
GROC FOOD,TEA BOTTLE CAN,GM,DIST 142,6104,QL SPOILED,NATURES PROMISE,068826717770-GC,Np Rsbry Lmn Kmbcha 16Z,08/10/19 08/26/19,68826717770,KOMBUTCHA,2034167,05/30/2019 10:26:34,"kombutcha  they were great  the last time i bought these,  but  both of these are spoiled and taste horrible
upc 068826717770
upc 068826754041"
GROC FOOD,TEA BOTTLE CAN,GM,DIST 142,6104,QL SPOILED,NATURES PROMISE,,,08/10/19 08/26/19,68826754041,KOMBUTCHA,2034167,05/30/2019 10:26:34,"kombutcha  they were great  the last time i bought these,  but  both of these are spoiled and taste horrible
upc 068826717770
upc 068826754041"
GROC FOOD,VEG CAN,SS,DIST SS 0,0000 SS,ALLERGY PEANUT,NATURES PROMISE,,,,,,2034634,05/30/2019 14:15:36,"natures promise, treenut & peanut allergen inq
8826714465
8826752761
"
GROC FOOD,VEG CAN,SS,DIST 325,647,PKG ERROR,FOODHOLD,068826702777-SSNE,Sb Spinach No Salt13.5Z,,68826702777,SPINACH,2034266,05/30/2019 11:11:44,Spinach 6 cans S&S brand no salt added says whole leaf and it was full of water one leaf at the bottom of the can. UPC 88267027772 says the other cans were fine.  No name or number given customer said she just wanted to make us aware.
GROC FOOD,VEG CAN,SS,DIST SS 0,0000 SS,PKG LABEL,FOODHOLD,068826702404-SSNE,Sb Slc Beet Ns Gls15oz,,68826702404,BEETS SLC NS GLS 15OZ,2031785,05/28/2019 9:23:11,customer was calling because this no longer  says preservative free and he wants to know why and would like it to say if it is pasteurized or unpasteurized
GROC FOOD,VEG CAN,SS,DIST SS 0,0000 SS,PKG LABEL,NATURES PROMISE,068826704904-SSNE,Np Org Blk Bns Ns 15.5Z,BB December 20 1921,68826704904,BEANS BLACK,2036159,05/31/2019 17:22:07,Purchased a Nature's Promise Organic Black Beans  688267049040 label. When poured them out there were kidney beans
GROC FOOD,VEG CAN,GM,DIST 143,6081,QL FOR OBJ,FOODHOLD,068826702237-GC,Sb Gr Beans Whole 14.5Z,best if used by 8 20 21 5ec 823316 82313,68826702237,BEANS STRING CAN,2032323,05/28/2019 14:05:27,Customer states they have our can of string beans and there was such a big stick in it.  Customer states someone could of choked.  Customer states they still have the stick and can.
GROC FOOD,WATER,GM,DIST 132,6442,OOS REG,FOODHOLD,068826710798-GC,Sb Elctrlyte Wtr 33.8Z,,68826710798,"WATER, W/ ELECTROLYTE",2035642,05/31/2019 12:30:27,I used to purchase the Giant brand purified water with electrolytes. I haven't been able to find it lately in my local store 6442. I do see they have distilled water with electrolytes. I was wondering if they replaced the purified water with the distilled. Also I'm unsure of the difference between the two. The bar code number from the purified water is 8826710798.
GROC FOOD,WATER,SS,DIST SS 0,0000 SS,PKG LEAK,NATURES PROMISE,,,16 jul 20 601191655,68826752865,WATER SPRING,2031400,05/27/2019 10:56:01,"Bought a 35 pk of NP  spring water and many of the bottles were leaking around the cap.

068826752865"
GROC FOOD,WATER,GM,DIST GM 0,0000 GM,QL FOR OBJ,FOODHOLD,,,,88267528552,WATER SPRING 24 PK,2034704,05/30/2019 14:47:55,"Customer states they purchased our water and noticed several of the bottles has a bunch of little black specs in the water.  Customer states they are on vacation and purchased it at the Emerald Isle, NC Food Lion.  Customer states they've drank several before noticing the specs and they are worried that it is something harmful.  Customer still has some bottles.  Customer is requesting a follow up call."
GROC HH,BATH TISSUE WIPES,GM,DIST 144,6012,DISC PRIV ITEM,FOODHOLD,,,,,PAPER-TOILET,2031248,05/26/2019 13:51:27,"CUSTOMER COMMENTS:  I am disappointed that you discontinued your store brand toilet paper in blue wrapper and store brand paper towels. Your replacement is not the same quality, even though it is advertised as such. Perhaps you could find a way of surveying customers of their opinions of your products before removing them. Not to be melodramatic but I feel a breach of trust, when a product is suddenly removed 
"
GROC HH,CLEANERS,GF,DIST 93,383,OOS REG,FOODHOLD,,,,,REFILLS,2035240,05/31/2019 8:37:58,I would like to see the swiffer refills back in stock. They have been out of stock for a while now.
GROC HH,DISH,GF,DIST 104,261,OOS REG,FOODHOLD,,,,,DISHWASHER DETERGENT,2031824,05/28/2019 9:55:21,"CUSTOMER COMMENTS:  I have 3 local Giants near me - mid point on Duke St. (headed east) in Alexandria, Kingstowne and at Beauregard & Duke at West End Alexandria. I have also been to the Bailey's Crossroads Store and the Annandale Giant. For the past 3 weeks, I have been visiting them all looking for your dishwasher detergent.

I need Giant Dishwasher Detergent and the only thing on your shelves are  Cascade products which do not work well in our dishwasher. 

We have used Giant brand dishwasher detergent in our machines for many years with uninterrupted availability. Has your source dried up? Is the manufacturer temporarily closed for repackaging or cleaning? Did the person who orders the product go on vacation and forget to make an order? Or has Cascade just rented the space usually occupied by Giant Dishwasher Detergent? 

Please let me know what store may have this product at your earliest convenience. Thank you for looking into this matter.

Marie G. Johnston 
"
GROC HH,HH OTH,SS,DIST 333,2586,SEL SIZE,SMART LIVING,,,,4152012188,BASKET STEAMER,2032664,05/28/2019 17:57:40,customer wanted to know if we sell this item in a bigger size this only fits a small saucepan?  Customer wants one to fit into a 10 or 11 inch saucepan.
GROC HH,PAPER TOWELS,GM,DIST 144,6012,DISC PRIV ITEM,FOODHOLD,,,,,PAPER TOWELS,2031248,05/26/2019 13:51:27,"CUSTOMER COMMENTS:  I am disappointed that you discontinued your store brand toilet paper in blue wrapper and store brand paper towels. Your replacement is not the same quality, even though it is advertised as such. Perhaps you could find a way of surveying customers of their opinions of your products before removing them. Not to be melodramatic but I feel a breach of trust, when a product is suddenly removed 
"
GROC HH,PAPER TOWELS,GM,DIST 134,6475,QL ABSORPTION,NATURES PROMISE,,,,,TOWELS PAPER,2033884,05/29/2019 22:13:20,"CUSTOMER COMMENTS:  I began using Nature's Promise toilet paper and paper towels because I no longer want to buy paper products that use virgin trees to make them. I am fairly happy with the Nature's Promise toilet paper, but the Nature's Promise paper towels are useless. Please consider finding a way to make them stronger and more absorbent, in the meantime, I will be purchasing 7th generation from Kimberton Whole Foods. They are more expensive and I am definitely more attracted to the price of Nature's Promise but the quality of the paper towels is just awful. Thank you. 
"
GROC HH,TRASH BAGS,GM,DIST GM 0,0000 GM,QL DEFECTIVE,FOODHOLD,068826714069-GC,Sb Odgrd Frsct Ktch40ct,TPC031219,68826714069,BAGS TRASH,2036572,06/01/2019 11:40:01,"When opening, the trash bags are all cut. Therefor it is not a trash bag once opened and nothing can be put in them. I thought it was just maybe one or two but it was the entire box."
GROC HH,TRASH BAGS,GM,DIST 145,6087,QL DEFECTIVE,FOODHOLD,068826703526-GC,Sb Drw Trsh Bg 15Ct,TPA012819,68826703526,"BAGS, TRASH",2031570,05/27/2019 15:28:33,"We've purchased these trash bags for years and have never had a problem. But this package, every single bag had a torn seem at the bottom about 8 inches long. We taped every bag so we could use them. We thought it was important to bring it to your attention."
GROC NON FOOD,HW OTH,SS,DIST 334,570,PKG BPA,SMART LIVING,,,,,PITCHER,2031415,05/27/2019 11:32:03,is this pitcher BPA free?
GROC NON FOOD,HW OTH,SS,DIST 337,819,QL OA DISSATISFIED,SMART LIVING,,,,,FLASH LIGHT LED,2033150,05/29/2019 10:48:58,"About 6 or 7 months ago I bought a Smart Living led flash light and 2 of the leds are not working now , I do not have  the UPC; is there anything you can do about this ."
GROC NON FOOD,SEASONAL,SS,DIST 328,521,PKG ERROR,SMART LIVING,,,,4152014052,TABLE CHAIR SET,2033109,05/29/2019 10:28:06,"I bought table and chair set and parts were missing the caps for the screws , the black covers for over the screws  i purchased maybe 3 weeks ago"
GROC PET,CAT LITTER,GM,DIST GM 0,0000 GM,QL TEXTURE,COMPANION,068826712516-GC,Sb Compan Scnt Ctlt 20L,,68826712516,LITTER CAT,2033191,05/29/2019 11:07:15,"customer said the texture of the companion kitty litter is just like dust and very powdery, upc 8826712516
"
GROC PET,DOG FOOD TREAT TOY,SS,DIST 337,823,DISC PRIV ITEM,COMPANION,,,,8826715767,DOG TREATS,2032610,05/28/2019 17:07:37,"CUSTOMER COMMENTS:  The Sparta, NJ store has been out of these treats for at least 2 days now.  My dog wants to know when you're going to get them back in stock.
Thanks. 
"
GROC PET,DOG FOOD TREAT TOY,GM,DIST GM 0,0000 GM,PKG ERROR,COMPANION,068826701474-GC,Cmpn Frzn Dgtrt Pb14z,Lot# 12096 rev 2/2018 S-141,68826701474,DOGTREATS FROZEN,2032019,05/28/2019 11:28:52,Attached letter from customer stating that Each of the 4 cups was only 1/2 filled.
GROC PET,PET OTHER,SS,DIST 336,574,DISC PRIV ITEM,COMPANION,,,,,BIRD FEED,2036903,06/01/2019 17:49:57,"CUSTOMER COMMENTS:  1.  whenever i stop by the store, which is once or twice/wkly, the store never has fancy feast tender beef pate stocked on the shelf.  in fact, the fancy feast and the friskies display is never well stock with the exceptions of the least popular food.  i am really sick to death of this situation, and am  forced to buy on line.
2. what happened to companion (yt store brand) wild bird food mess-free?  it's gone.  been buying bags of it for years.  if it is being discontinued, shoppers should be notified.  sick of this issue as well because it has happened multiple times with other items i use to buy such as yr brand of the 1000 sheet toilet paper.
shame on you. 
"
GROC REWARDS,CANDY GUM MINTS,SS,DIST 327,530,OOS REG,TOI,,,,n/a,TRUFFLES- BELGIAN DARK CHOC,2031533,05/27/2019 14:37:16,"CUSTOMER COMMENTS:  Hi there, 

I've been checking for months but can't find the Taste of Inspirations Belgian Dark Chocolate Truffles with Sea Salt at the 390 Broadway, Dobbs Ferry location. I have repeatedly checked and about 2 weeks ago raised it with the information desk person. Can you please advise as to when you will carry it again?  Or let me know if another Stop and Shop carries it please? Thanks a lot, Shaz 
"
GROC REWARDS,CHIPS,SS,DIST SS 0,0000 SS,ALLERGY PEANUT,NATURES PROMISE,,,,,CHIPS,2035670,05/31/2019 12:41:15,"np org yellow corn tortilla chips
upc 8826703709
peanut allergen inq"
GROC REWARDS,COOKIES,SS,DIST SS 0,0000 SS,ALLERGY PEANUT,NATURES PROMISE,,,,88267199592,COOKIES,2033496,05/29/2019 14:19:57,"natures promise organic chocolate sandwich creme cookies
upc 8826719959
customer wants treenut and peanut allergen information"
GROC REWARDS,COOKIES,GF,DIST 92,167,PKG DAMAGD,FOODHOLD,,,,,GINGER SNAPS,2031507,05/27/2019 13:43:16,"I shop at the Bay Ridge Rd Giant probably 3-4 times a week. I am so sick of having to return produce because I get home and it's bad inside. Last Friday I bought onions and peppers. There was a worm in the pepper and 1 of the onions was so bad I had to throw it out. I went back Saturday and the produce guy was there and had fresh sweet onions so I got a couple. I also got a box of the Giant Ginger Snaps because you only have your brand now. I got home and cut the onions, 1 was totally rotten and the other I could only use part of it. I opened the cookies that night and the one sleeve was torn so the cookies were exposed and soggy. That was the last straw. I'm so upset. It's like no one cares about this store or something. The manager tries, but she can't change what she gets supplied. Either the person checking what comes in has no idea what they're doing or someone is trying to sabotage this store. Also there's so many products that I use to buy all the time that you've stopped carrying, but yet your competition carries it. Safeway is right down the street. The people are nice but the quality of products is just not there. I want to see better quality. 
"
GROC REWARDS,CRACKERS,SS,DIST SS 0,0000 SS,ALLERGY PEANUT,FOODHOLD,068826704382-SSNE,Sb Honey Grahams 14.4Z,Above UPC S-89     0114,68826704382,CRACKERS HONEY GRAHAMS,2032922,05/29/2019 9:10:17,"Hello! My son has a peanut allergy. Are your Stop & Shop brand honey graham crackers made on nut free lines? Thank you so much for your help!

*peanut free lines (he’s not allergic to any other kind of but Nut) 


Hello! I have a son with severe peanut and tree nut allergies. Are the Stop and Shop and Nature’s Promise oatmeal - both in canisters and boxes - run on dedicated, nut free lines? Thank you so much for your help!"
GROC REWARDS,CRACKERS,GM,DIST 131,6046,OOS REG,NATURES PROMISE,,,,,CRACKERS,2035254,05/31/2019 9:08:15,"Buys NP Tomato Ketchup all the time, b/c it is organic, and it has the best flavor he has ever  had.  Beats Heinz and Delmonte.  Last week, tried a new bottle and it was terrible.  If they don't go back to the original formula will not buy it anymore.  As the saying goes, If it ain't broke, don't fix it.  The reason he liked it was b/c the flavor was very mild, mellow and easily palatable.  Now it is hot and spicy and burns your mouth.  If they have changed the formula, it is a bad idea.  Also, they should put on the label hot and spicy.  This bottle tasted like cajun spice had been added.

Also, the mgnt at this store is not good.  Does a very poor job of stocking the shelves.  NP crackers have been oos for weeks.  Also, always out of Pure Leaf iced tea Extra sweet.  

Also, does not like Marty.  It was a bad idea and they need to get rid of it.  Have seen it scare children, elderly.  It is nothing more than a ""spy"",  Does not like it and it's taking jobs away from ppl."
GROC REWARDS,CRACKERS,GM,DIST 131,6046,OOS REG,NATURES PROMISE,,,,,CRACKERS,2035254,05/31/2019 9:08:15,"Dear Brooke

It may have been a bad batch.  Please send cust a letter stating this fact with a coup."
GROC REWARDS,FRUIT SNACKS,GM,DIST 133,6335,DISC PRIV ITEM,FOODHOLD,,,,,RAISIN,2033307,05/29/2019 12:22:17,Customer states they buy the milk and there is so much wax on the seal of the milk and its get on your lips.  Customer states it flakes over the counter top also.  Customer is requesting to know what it is and is requesting a call back.  Customer also requests that we start selling the Giant brand raisins again.
GROC REWARDS,NUTS SEEDS,SS,DIST SS 0,0000 SS,NTR INGR C,NATURES PROMISE,,,,,TRAIL MIX PEANUT BUTTER,2036210,05/31/2019 18:08:40,Natures Promise Peanut Butter Trail Mix the cherries are really hard and needs a better quality  UPC 8826717870.
GROC REWARDS,NUTS SEEDS,SS,DIST SS 0,0000 SS,QL FEW MISS INGR,FOODHOLD,068826704304-SSNE,Sb Island Trl Mx 24Z,10/12/19,68826704304,ISLAND MIX TRAIL MIX,2034581,05/30/2019 14:00:33,"store brand island mix trail mix, only 5 raisins in the whole bag
upc 8826704304
sell by date 10/12/19
51216 0317
"
